Event ID,Date,Year,Month,Week,Plant,Production Line,Machine ID,Machine Type,Shift,Operator ID,Technician,Downtime Category,Downtime Reason,Planned or Unplanned,Root Cause,Downtime Minutes,Downtime Hours,Repair Cost EURO,Cost per Minute,Production Units Lost,Product Type,Status,Resolution Time,Maintenance Type
DT-00013,2023-01-02,2023,January,1,Plant Katowice,Line K1,MC-0031,Robotic Welder,Morning (06-14),OP-0034,Tech-021,Mechanical Failure,Hydraulic Leak,Unplanned,Aging Equipment,31,0.52,324.26,10.46,13,Automotive Parts,Resolved,0.2,Corrective
DT-00014,2023-01-03,2023,January,1,Plant Lyon,Line L2,MC-0043,Injection Molding Machine,Night (22-06),OP-0005,Tech-007,Operator Error,Manual Handling Error,Unplanned,Environmental Conditions,36,0.6,312.48,8.68,55,Automotive Parts,Resolved,1.91,Predictive
DT-00015,2023-01-03,2023,January,1,Plant Rotterdam,Line R3,MC-0008,Packaging Machine,Morning (06-14),OP-0092,Tech-020,Software/Control Issue,Software Crash,Unplanned,Aging Equipment,103,1.72,605.64,5.88,186,Machine Tools,Resolved,3.22,Corrective
DT-00016,2023-01-03,2023,January,1,Plant Munich,Line M4,MC-0027,Packaging Machine,Afternoon (14-22),OP-0061,Tech-013,Mechanical Failure,Gear Wear,Unplanned,Process Variation,29,0.48,87.29,3.01,56,Automotive Parts,Resolved,2.96,Predictive
DT-00017,2023-01-03,2023,January,1,Plant Lyon,Line L1,MC-0037,Injection Molding Machine,Afternoon (14-22),OP-0074,Tech-009,Material Shortage,Supplier Delay,Unplanned,Wear and Tear,74,1.23,728.9,9.85,96,Automotive Parts,Resolved,1.19,Corrective
DT-00018,2023-01-03,2023,January,1,Plant Lyon,Line L1,MC-0038,Stamping Press,Afternoon (14-22),OP-0010,Tech-009,Mechanical Failure,Bearing Failure,Unplanned,Supplier Quality Issue,87,1.45,994.41,11.43,79,Metal Fittings,Resolved,1.78,Corrective
DT-00019,2023-01-03,2023,January,1,Plant Munich,Line M4,MC-0026,CNC Machine,Morning (06-14),OP-0080,Tech-002,Electrical Failure,PLC Error,Unplanned,Design Flaw,56,0.93,584.64,10.44,127,Plastic Components,Resolved,1.5,Corrective
DT-00020,2023-01-03,2023,January,1,Plant Lyon,Line L3,MC-0046,Hydraulic Press,Afternoon (14-22),OP-0025,Tech-009,Preventive Maintenance,Routine Calibration,Planned,Design Flaw,23,0.38,245.18,10.66,45,Automotive Parts,Resolved,0.57,Preventive
DT-00021,2023-01-03,2023,January,1,Plant Munich,Line M3,MC-0021,Injection Molding Machine,Night (22-06),OP-0091,Tech-018,Preventive Maintenance,Routine Calibration,Planned,Lack of Preventive Maintenance,81,1.35,571.05,7.05,201,Metal Fittings,Resolved,2.67,Preventive
DT-00022,2023-01-03,2023,January,1,Plant Munich,Line M4,MC-0025,Robotic Welder,Night (22-06),OP-0058,Tech-015,Mechanical Failure,Belt Breakage,Unplanned,Unknown,71,1.18,931.52,13.12,132,Plastic Components,Resolved,1.34,Predictive
DT-00023,2023-01-03,2023,January,1,Plant Munich,Line M1,MC-0012,Industrial Oven,Morning (06-14),OP-0098,Tech-022,Material Shortage,Supplier Delay,Unplanned,Inadequate Training,231,3.85,912.45,3.95,330,Packaging Units,Resolved,5.99,Corrective
DT-00024,2023-01-04,2023,January,1,Plant Munich,Line M4,MC-0025,Robotic Welder,Night (22-06),OP-0090,Tech-020,Mechanical Failure,Belt Breakage,Unplanned,Lack of Preventive Maintenance,20,0.33,285.2,14.26,46,Automotive Parts,In Progress,,Corrective
DT-00025,2023-01-04,2023,January,1,Plant Rotterdam,Line R2,MC-0004,Stamping Press,Morning (06-14),OP-0111,Tech-019,Mechanical Failure,Belt Breakage,Unplanned,Wear and Tear,16,0.27,82.24,5.14,11,Metal Fittings,Resolved,0.98,Corrective
DT-00026,2023-01-04,2023,January,1,Plant Rotterdam,Line R1,MC-0003,Injection Molding Machine,Night (22-06),OP-0051,Tech-015,Software/Control Issue,HMI Freeze,Unplanned,Human Error,16,0.27,196.48,12.28,37,Machine Tools,Resolved,0.2,Corrective
DT-00027,2023-01-04,2023,January,1,Plant Munich,Line M3,MC-0021,Injection Molding Machine,Afternoon (14-22),OP-0004,Tech-024,Electrical Failure,Power Supply Failure,Unplanned,Environmental Conditions,25,0.42,243.25,9.73,38,Metal Fittings,Resolved,0.33,Corrective
DT-00028,2023-01-05,2023,January,1,Plant Rotterdam,Line R3,MC-0010,Industrial Oven,Morning (06-14),OP-0078,Tech-013,Material Shortage,Component Stockout,Unplanned,Design Flaw,91,1.52,527.8,5.8,61,Plastic Components,Resolved,2.62,Corrective
DT-00029,2023-01-05,2023,January,1,Plant Katowice,Line K1,MC-0030,Stamping Press,Afternoon (14-22),OP-0107,Tech-014,Software/Control Issue,Network Communication Loss,Unplanned,Wear and Tear,22,0.37,192.28,8.74,36,Automotive Parts,Resolved,1.04,Corrective
DT-00030,2023-01-05,2023,January,1,Plant Katowice,Line K1,MC-0029,Stamping Press,Morning (06-14),OP-0085,Tech-012,Electrical Failure,Wiring Fault,Unplanned,Poor Spare Parts Availability,33,0.55,188.1,5.7,74,Packaging Units,Resolved,3.4,Corrective
DT-00031,2023-01-05,2023,January,1,Plant Munich,Line M3,MC-0024,Injection Molding Machine,Morning (06-14),OP-0062,Tech-006,Software/Control Issue,Software Crash,Unplanned,Human Error,19,0.32,225.53,11.87,35,Automotive Parts,Resolved,0.84,Corrective
DT-00032,2023-01-05,2023,January,1,Plant Lyon,Line L1,MC-0036,Palletizer,Night (22-06),OP-0115,Tech-015,Changeover,Product Changeover,Planned,Human Error,50,0.83,249.5,4.99,50,Plastic Components,Resolved,2.03,Predictive
DT-00033,2023-01-05,2023,January,1,Plant Munich,Line M4,MC-0026,CNC Machine,Morning (06-14),OP-0120,Tech-012,Material Shortage,Raw Material Delay,Unplanned,Process Variation,123,2.05,1033.2,8.4,158,Automotive Parts,Resolved,2.68,Corrective
DT-00034,2023-01-06,2023,January,1,Plant Katowice,Line K1,MC-0029,Stamping Press,Morning (06-14),OP-0077,Tech-002,Operator Error,Manual Handling Error,Unplanned,Design Flaw,99,1.65,889.02,8.98,95,Machine Tools,Resolved,2.13,Corrective
DT-00035,2023-01-06,2023,January,1,Plant Munich,Line M3,MC-0022,Stamping Press,Night (22-06),OP-0011,Tech-014,Material Shortage,Component Stockout,Unplanned,Supplier Quality Issue,200,3.33,2402.0,12.01,307,Machine Tools,Resolved,3.95,Corrective
DT-00036,2023-01-07,2023,January,1,Plant Katowice,Line K1,MC-0030,Stamping Press,Afternoon (14-22),OP-0109,Tech-025,Quality Issue,Calibration Drift,Unplanned,Poor Spare Parts Availability,175,2.92,2192.75,12.53,144,Automotive Parts,Resolved,4.75,Predictive
DT-00037,2023-01-07,2023,January,1,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Night (22-06),OP-0067,Tech-017,Material Shortage,Component Stockout,Unplanned,Poor Spare Parts Availability,161,2.68,2204.09,13.69,260,Plastic Components,Resolved,4.01,Corrective
DT-00038,2023-01-07,2023,January,1,Plant Lyon,Line L2,MC-0043,Injection Molding Machine,Night (22-06),OP-0088,Tech-025,Mechanical Failure,Hydraulic Leak,Unplanned,Human Error,60,1.0,529.2,8.82,111,Automotive Parts,Resolved,1.68,Corrective
DT-00039,2023-01-07,2023,January,1,Plant Lyon,Line L3,MC-0044,CNC Machine,Afternoon (14-22),OP-0054,Tech-022,Electrical Failure,Sensor Malfunction,Unplanned,Unknown,53,0.88,590.42,11.14,44,Electronic Housings,Resolved,2.11,Corrective
DT-00040,2023-01-07,2023,January,1,Plant Lyon,Line L2,MC-0041,Hydraulic Press,Afternoon (14-22),OP-0105,Tech-004,Preventive Maintenance,Routine Calibration,Planned,Supplier Quality Issue,52,0.87,424.84,8.17,75,Automotive Parts,Resolved,0.58,Preventive
DT-00041,2023-01-08,2023,January,1,Plant Rotterdam,Line R3,MC-0009,Palletizer,Afternoon (14-22),OP-0011,Tech-023,Electrical Failure,Wiring Fault,Unplanned,Environmental Conditions,28,0.47,127.12,4.54,58,Packaging Units,Resolved,0.2,Corrective
DT-00042,2023-01-08,2023,January,1,Plant Munich,Line M4,MC-0026,CNC Machine,Afternoon (14-22),OP-0069,Tech-011,Quality Issue,Calibration Drift,Unplanned,Supplier Quality Issue,49,0.82,368.48,7.52,89,Automotive Parts,Resolved,0.2,Corrective
DT-00043,2023-01-08,2023,January,1,Plant Katowice,Line K1,MC-0030,Stamping Press,Afternoon (14-22),OP-0090,Tech-008,Operator Error,Incorrect Setup,Unplanned,Wear and Tear,37,0.62,217.56,5.88,83,Machine Tools,Resolved,2.16,Corrective
DT-00044,2023-01-08,2023,January,1,Plant Munich,Line M3,MC-0020,Assembly Robot,Afternoon (14-22),OP-0029,Tech-022,Material Shortage,Supplier Delay,Unplanned,Inadequate Training,172,2.87,3371.2,19.6,219,Machine Tools,Resolved,4.63,Corrective
DT-00045,2023-01-08,2023,January,1,Plant Munich,Line M4,MC-0026,CNC Machine,Afternoon (14-22),OP-0108,Tech-008,Preventive Maintenance,Routine Calibration,Planned,Inadequate Training,75,1.25,780.75,10.41,37,Packaging Units,Resolved,1.2,Preventive
DT-00046,2023-01-08,2023,January,1,Plant Lyon,Line L2,MC-0039,Industrial Oven,Night (22-06),OP-0023,Tech-001,Electrical Failure,Short Circuit,Unplanned,Aging Equipment,49,0.82,228.34,4.66,89,Metal Fittings,Resolved,1.94,Corrective
DT-00047,2023-01-08,2023,January,1,Plant Katowice,Line K2,MC-0032,Hydraulic Press,Afternoon (14-22),OP-0078,Tech-002,Quality Issue,Out of Spec Product,Unplanned,Human Error,32,0.53,244.48,7.64,64,Metal Fittings,Resolved,1.21,Corrective
DT-00048,2023-01-08,2023,January,1,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Afternoon (14-22),OP-0007,Tech-014,Changeover,Tooling Change,Planned,Design Flaw,22,0.37,359.48,16.34,41,Electronic Housings,Resolved,0.89,Corrective
DT-00049,2023-01-09,2023,January,2,Plant Rotterdam,Line R1,MC-0001,Industrial Oven,Night (22-06),OP-0008,Tech-009,Quality Issue,Out of Spec Product,Unplanned,Poor Spare Parts Availability,68,1.13,347.48,5.11,85,Packaging Units,Pending,,Corrective
DT-00050,2023-01-09,2023,January,2,Plant Munich,Line M1,MC-0012,Industrial Oven,Afternoon (14-22),OP-0111,Tech-016,Changeover,Product Changeover,Planned,Design Flaw,44,0.73,117.04,2.66,96,Electronic Housings,Resolved,2.2,Corrective
DT-00051,2023-01-09,2023,January,2,Plant Munich,Line M4,MC-0026,CNC Machine,Night (22-06),OP-0070,Tech-025,Changeover,Product Changeover,Planned,Poor Spare Parts Availability,22,0.37,118.36,5.38,30,Electronic Housings,Resolved,0.2,Corrective
DT-00052,2023-01-09,2023,January,2,Plant Lyon,Line L1,MC-0037,Injection Molding Machine,Morning (06-14),OP-0080,Tech-005,Software/Control Issue,Firmware Update Error,Unplanned,Human Error,56,0.93,413.84,7.39,121,Machine Tools,Resolved,1.42,Corrective
DT-00053,2023-01-09,2023,January,2,Plant Rotterdam,Line R3,MC-0010,Industrial Oven,Morning (06-14),OP-0086,Tech-002,Operator Error,Manual Handling Error,Unplanned,Process Variation,194,3.23,706.16,3.64,337,Packaging Units,Resolved,6.24,Predictive
DT-00054,2023-01-09,2023,January,2,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Afternoon (14-22),OP-0083,Tech-024,Preventive Maintenance,Routine Calibration,Planned,Process Variation,21,0.35,80.43,3.83,38,Electronic Housings,Pending,,Preventive
DT-00055,2023-01-10,2023,January,2,Plant Munich,Line M4,MC-0027,Packaging Machine,Afternoon (14-22),OP-0080,Tech-017,Operator Error,Missed Procedure Step,Planned,Unknown,21,0.35,179.55,8.55,37,Packaging Units,Resolved,0.51,Predictive
DT-00056,2023-01-10,2023,January,2,Plant Munich,Line M4,MC-0025,Robotic Welder,Morning (06-14),OP-0120,Tech-007,Mechanical Failure,Motor Failure,Unplanned,Supplier Quality Issue,71,1.18,925.13,13.03,90,Packaging Units,Resolved,0.86,Corrective
DT-00057,2023-01-10,2023,January,2,Plant Rotterdam,Line R1,MC-0001,Industrial Oven,Afternoon (14-22),OP-0095,Tech-015,Operator Error,Incorrect Setup,Unplanned,Design Flaw,25,0.42,200.5,8.02,48,Plastic Components,Resolved,0.72,Predictive
DT-00058,2023-01-10,2023,January,2,Plant Munich,Line M1,MC-0012,Industrial Oven,Morning (06-14),OP-0109,Tech-022,Electrical Failure,Power Supply Failure,Unplanned,Process Variation,26,0.43,95.68,3.68,32,Metal Fittings,Resolved,0.64,Corrective
DT-00059,2023-01-10,2023,January,2,Plant Munich,Line M3,MC-0020,Assembly Robot,Afternoon (14-22),OP-0049,Tech-021,Quality Issue,Out of Spec Product,Unplanned,Wear and Tear,52,0.87,469.04,9.02,53,Machine Tools,Resolved,1.73,Corrective
DT-00060,2023-01-10,2023,January,2,Plant Lyon,Line L3,MC-0047,Industrial Oven,Night (22-06),OP-0008,Tech-025,Quality Issue,Rework Required,Unplanned,Human Error,11,0.18,91.96,8.36,12,Electronic Housings,Resolved,0.2,Corrective
DT-00061,2023-01-10,2023,January,2,Plant Katowice,Line K1,MC-0029,Stamping Press,Afternoon (14-22),OP-0009,Tech-011,Electrical Failure,Short Circuit,Unplanned,Poor Spare Parts Availability,24,0.4,188.4,7.85,63,Packaging Units,Resolved,0.34,Predictive
DT-00062,2023-01-11,2023,January,2,Plant Katowice,Line K2,MC-0033,Industrial Oven,Morning (06-14),OP-0021,Tech-014,Quality Issue,Rework Required,Unplanned,Wear and Tear,28,0.47,257.6,9.2,48,Metal Fittings,Resolved,1.34,Corrective
DT-00063,2023-01-11,2023,January,2,Plant Rotterdam,Line R1,MC-0003,Injection Molding Machine,Morning (06-14),OP-0054,Tech-012,Preventive Maintenance,Routine Calibration,Planned,Wear and Tear,75,1.25,617.25,8.23,192,Packaging Units,Pending,,Preventive
DT-00064,2023-01-11,2023,January,2,Plant Katowice,Line K2,MC-0034,Industrial Oven,Afternoon (14-22),OP-0114,Tech-001,Electrical Failure,PLC Error,Unplanned,Human Error,41,0.68,129.97,3.17,57,Plastic Components,Resolved,2.44,Corrective
DT-00065,2023-01-11,2023,January,2,Plant Munich,Line M1,MC-0015,Stamping Press,Morning (06-14),OP-0008,Tech-006,Mechanical Failure,Bearing Failure,Unplanned,Aging Equipment,161,2.68,777.63,4.83,205,Automotive Parts,Resolved,4.85,Corrective
DT-00066,2023-01-12,2023,January,2,Plant Munich,Line M3,MC-0024,Injection Molding Machine,Afternoon (14-22),OP-0118,Tech-024,Operator Error,Incorrect Setup,Unplanned,Environmental Conditions,21,0.35,166.74,7.94,30,Packaging Units,Resolved,0.56,Corrective
DT-00067,2023-01-12,2023,January,2,Plant Lyon,Line L3,MC-0045,Packaging Machine,Night (22-06),OP-0113,Tech-004,Preventive Maintenance,Filter Replacement,Planned,Human Error,46,0.77,224.02,4.87,107,Plastic Components,Resolved,0.54,Preventive
DT-00068,2023-01-12,2023,January,2,Plant Lyon,Line L2,MC-0041,Hydraulic Press,Morning (06-14),OP-0038,Tech-020,Mechanical Failure,Motor Failure,Unplanned,Wear and Tear,18,0.3,135.18,7.51,10,Electronic Housings,Resolved,2.21,Corrective
DT-00069,2023-01-12,2023,January,2,Plant Lyon,Line L2,MC-0041,Hydraulic Press,Afternoon (14-22),OP-0034,Tech-001,Preventive Maintenance,Routine Calibration,Planned,Poor Spare Parts Availability,55,0.92,206.8,3.76,37,Plastic Components,Resolved,2.93,Preventive
DT-00070,2023-01-12,2023,January,2,Plant Lyon,Line L1,MC-0038,Stamping Press,Morning (06-14),OP-0114,Tech-015,Preventive Maintenance,Lubrication Service,Planned,Design Flaw,30,0.5,356.4,11.88,16,Automotive Parts,Resolved,1.47,Preventive
DT-00071,2023-01-13,2023,January,2,Plant Rotterdam,Line R3,MC-0009,Palletizer,Morning (06-14),OP-0069,Tech-005,Electrical Failure,Wiring Fault,Unplanned,Poor Spare Parts Availability,51,0.85,163.71,3.21,68,Automotive Parts,Resolved,0.2,Predictive
DT-00072,2023-01-13,2023,January,2,Plant Munich,Line M1,MC-0013,Packaging Machine,Night (22-06),OP-0096,Tech-014,Mechanical Failure,Bearing Failure,Unplanned,Wear and Tear,20,0.33,126.2,6.31,21,Packaging Units,Pending,,Corrective
DT-00073,2023-01-13,2023,January,2,Plant Lyon,Line L1,MC-0038,Stamping Press,Night (22-06),OP-0100,Tech-003,Changeover,Tooling Change,Planned,Supplier Quality Issue,43,0.72,571.47,13.29,75,Packaging Units,Resolved,0.83,Corrective
DT-00074,2023-01-13,2023,January,2,Plant Lyon,Line L2,MC-0039,Industrial Oven,Afternoon (14-22),OP-0003,Tech-015,Quality Issue,Calibration Drift,Unplanned,Lack of Preventive Maintenance,31,0.52,158.41,5.11,60,Packaging Units,Resolved,0.95,Corrective
DT-00075,2023-01-13,2023,January,2,Plant Rotterdam,Line R2,MC-0006,Assembly Robot,Afternoon (14-22),OP-0089,Tech-024,Changeover,Tooling Change,Planned,Design Flaw,52,0.87,715.0,13.75,104,Plastic Components,Resolved,2.46,Corrective
DT-00076,2023-01-13,2023,January,2,Plant Munich,Line M4,MC-0028,Stamping Press,Afternoon (14-22),OP-0062,Tech-002,Quality Issue,Calibration Drift,Unplanned,Environmental Conditions,37,0.62,247.9,6.7,39,Metal Fittings,Resolved,2.83,Corrective
DT-00077,2023-01-13,2023,January,2,Plant Lyon,Line L2,MC-0039,Industrial Oven,Morning (06-14),OP-0099,Tech-025,Preventive Maintenance,Filter Replacement,Planned,Process Variation,29,0.48,159.79,5.51,40,Packaging Units,Resolved,1.62,Preventive
DT-00078,2023-01-14,2023,January,2,Plant Katowice,Line K1,MC-0030,Stamping Press,Morning (06-14),OP-0001,Tech-004,Preventive Maintenance,Filter Replacement,Planned,Inadequate Training,70,1.17,787.5,11.25,89,Packaging Units,Resolved,3.9,Preventive
DT-00079,2023-01-14,2023,January,2,Plant Lyon,Line L2,MC-0042,Conveyor System,Afternoon (14-22),OP-0106,Tech-005,Electrical Failure,Wiring Fault,Unplanned,Supplier Quality Issue,30,0.5,117.9,3.93,46,Packaging Units,Resolved,1.37,Corrective
DT-00080,2023-01-14,2023,January,2,Plant Katowice,Line K1,MC-0030,Stamping Press,Night (22-06),OP-0115,Tech-002,Mechanical Failure,Motor Failure,Unplanned,Supplier Quality Issue,45,0.75,427.5,9.5,76,Packaging Units,Resolved,1.07,Corrective
DT-00081,2023-01-14,2023,January,2,Plant Lyon,Line L2,MC-0041,Hydraulic Press,Afternoon (14-22),OP-0113,Tech-014,Changeover,Product Changeover,Planned,Inadequate Training,28,0.47,134.68,4.81,31,Metal Fittings,Resolved,1.69,Corrective
DT-00082,2023-01-14,2023,January,2,Plant Munich,Line M2,MC-0017,Conveyor System,Afternoon (14-22),OP-0100,Tech-008,Changeover,Product Changeover,Planned,Supplier Quality Issue,33,0.55,170.61,5.17,68,Plastic Components,Resolved,0.2,Corrective
DT-00083,2023-01-14,2023,January,2,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Morning (06-14),OP-0090,Tech-009,Mechanical Failure,Gear Wear,Unplanned,Aging Equipment,24,0.4,346.56,14.44,41,Automotive Parts,Resolved,0.2,Corrective
DT-00084,2023-01-15,2023,January,2,Plant Munich,Line M3,MC-0022,Stamping Press,Morning (06-14),OP-0105,Tech-012,Quality Issue,Out of Spec Product,Unplanned,Design Flaw,11,0.18,72.27,6.57,24,Automotive Parts,Resolved,1.19,Corrective
DT-00085,2023-01-15,2023,January,2,Plant Munich,Line M2,MC-0018,Hydraulic Press,Night (22-06),OP-0040,Tech-024,Quality Issue,Rework Required,Unplanned,Aging Equipment,91,1.52,707.07,7.77,173,Automotive Parts,Resolved,3.1,Predictive
DT-00086,2023-01-15,2023,January,2,Plant Munich,Line M3,MC-0020,Assembly Robot,Morning (06-14),OP-0099,Tech-005,Material Shortage,Supplier Delay,Unplanned,Human Error,99,1.65,961.29,9.71,188,Electronic Housings,Resolved,1.68,Corrective
DT-00087,2023-01-15,2023,January,2,Plant Rotterdam,Line R3,MC-0008,Packaging Machine,Morning (06-14),OP-0023,Tech-014,Operator Error,Missed Procedure Step,Unplanned,Wear and Tear,13,0.22,53.17,4.09,17,Electronic Housings,In Progress,,Corrective
DT-00088,2023-01-15,2023,January,2,Plant Lyon,Line L2,MC-0040,Industrial Oven,Afternoon (14-22),OP-0002,Tech-019,Quality Issue,Out of Spec Product,Unplanned,Aging Equipment,26,0.43,201.24,7.74,51,Packaging Units,Resolved,0.2,Corrective
DT-00089,2023-01-15,2023,January,2,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Afternoon (14-22),OP-0049,Tech-010,Mechanical Failure,Hydraulic Leak,Unplanned,Inadequate Training,14,0.23,125.44,8.96,12,Packaging Units,Resolved,2.0,Predictive
DT-00090,2023-01-15,2023,January,2,Plant Katowice,Line K2,MC-0033,Industrial Oven,Night (22-06),OP-0025,Tech-023,Changeover,Tooling Change,Planned,Process Variation,29,0.48,258.68,8.92,44,Plastic Components,Resolved,1.22,Corrective
DT-00091,2023-01-16,2023,January,3,Plant Lyon,Line L3,MC-0045,Packaging Machine,Morning (06-14),OP-0040,Tech-015,Material Shortage,Raw Material Delay,Unplanned,Inadequate Training,197,3.28,965.3,4.9,467,Machine Tools,Resolved,4.85,Predictive
DT-00092,2023-01-16,2023,January,3,Plant Rotterdam,Line R2,MC-0005,CNC Machine,Morning (06-14),OP-0044,Tech-020,Mechanical Failure,Bearing Failure,Unplanned,Design Flaw,62,1.03,301.94,4.87,112,Electronic Housings,Resolved,1.58,Corrective
DT-00093,2023-01-16,2023,January,3,Plant Lyon,Line L2,MC-0042,Conveyor System,Morning (06-14),OP-0065,Tech-018,Operator Error,Manual Handling Error,Unplanned,Wear and Tear,56,0.93,295.12,5.27,69,Packaging Units,Resolved,1.19,Predictive
DT-00094,2023-01-16,2023,January,3,Plant Munich,Line M2,MC-0018,Hydraulic Press,Night (22-06),OP-0044,Tech-001,Material Shortage,Raw Material Delay,Unplanned,Poor Spare Parts Availability,127,2.12,1493.52,11.76,151,Plastic Components,Resolved,5.73,Corrective
DT-00095,2023-01-16,2023,January,3,Plant Katowice,Line K2,MC-0033,Industrial Oven,Morning (06-14),OP-0018,Tech-003,Mechanical Failure,Gear Wear,Unplanned,Process Variation,94,1.57,663.64,7.06,120,Machine Tools,Resolved,0.2,Corrective
DT-00096,2023-01-16,2023,January,3,Plant Rotterdam,Line R3,MC-0010,Industrial Oven,Morning (06-14),OP-0075,Tech-014,Electrical Failure,PLC Error,Unplanned,Lack of Preventive Maintenance,69,1.15,311.19,4.51,88,Plastic Components,Resolved,0.61,Corrective
DT-00097,2023-01-16,2023,January,3,Plant Munich,Line M1,MC-0015,Stamping Press,Afternoon (14-22),OP-0100,Tech-008,Electrical Failure,Short Circuit,Unplanned,Design Flaw,124,2.07,1168.08,9.42,251,Machine Tools,Resolved,3.71,Corrective
DT-00098,2023-01-16,2023,January,3,Plant Katowice,Line K2,MC-0033,Industrial Oven,Afternoon (14-22),OP-0085,Tech-016,Operator Error,Incorrect Setup,Unplanned,Human Error,48,0.8,304.8,6.35,45,Packaging Units,Resolved,1.12,Corrective
DT-00099,2023-01-17,2023,January,3,Plant Rotterdam,Line R2,MC-0006,Assembly Robot,Morning (06-14),OP-0110,Tech-013,Quality Issue,Calibration Drift,Unplanned,Human Error,45,0.75,784.35,17.43,85,Plastic Components,Resolved,2.39,Corrective
DT-00100,2023-01-17,2023,January,3,Plant Munich,Line M4,MC-0025,Robotic Welder,Morning (06-14),OP-0036,Tech-022,Material Shortage,Supplier Delay,Unplanned,Supplier Quality Issue,177,2.95,2037.27,11.51,286,Packaging Units,Resolved,4.37,Predictive
DT-00101,2023-01-17,2023,January,3,Plant Munich,Line M3,MC-0021,Injection Molding Machine,Night (22-06),OP-0104,Tech-017,Quality Issue,Out of Spec Product,Unplanned,Environmental Conditions,49,0.82,438.55,8.95,87,Machine Tools,Resolved,2.65,Corrective
